Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

01:34:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:15 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:15 AM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:15 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   24    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
01:34:15 AM   25   99.01    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00
01:34:15 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:34:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:16 AM  all    8.36    0.00    0.02    0.00    0.00    0.00    0.00    0.00   91.62
01:34:16 AM    0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:16 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM    3    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
01:34:16 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:16 AM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:16 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   24    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:34:16 AM   25  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:16 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:16 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
